Metronidazole_drugsCom	Metronidazole_MedEffect	Metronidazole_OpenFDA	Metronidazole_Twitter	sideefects
0.0007880220646178094	0.005457522284882664	0.0159368168676398	0.0035587188612099642	, drug-drug interaction,interactions drug,drug interaction with,drugs interactions,drug drug interactions,drug drugs interactions,drug drug interaction,drug interactions,drug interaction,interaction drug,drugs interaction
0.01024428684003152	0.0001966955153422502	0.0009479671371392457	0.003007518796992481	, culture
0.0007911392405063291	0.0015701668302257115	0.00031347962382445143	0.002593360995850623	, lyme disease, Lyme disease
0.002225519287833828	0.002600780234070221	0.00673924313115604	0.0025684931506849322	, blood pressure
0.02251552795031056	0.0001941747572815534	0.0005537098560354374	0.002545824847250509	, ear infection, Ear infection
0.011967090501121914	0.0031710501772057448	0.019642985160226542	0.0021468441391155	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.00792393026941363	0.00039184952978056425	0.0038022813688212928	0.0020757654385054488	, thrush,oral moniliasis,thrush oral,candidiasis oral,candida oral,oral candida,candida mouth,oral candidosis,oral candidiasis,candidas oral,candida stomatitis,candidas mouth,mouth candidiasis,oral thrush,candidosis oral,candidiasis mouth
0.00078064012490242	0.00019327406262079628	0.0007943600436898022	0.0019792182088075212	, wounds,physical wound,wound,injuries wound,morphology wound
0.00078064012490242	0.00019327406262079628	0.0008020854220974535	0.0019792182088075212	, wound, Wound
0.0030959752321981426	0.0007585814526834819	0.004549886252843679	0.0017145306472353193	, heart rate, Heart rate
0.0023771790808240893	0.00019665683382497545	0.002107481559536354	0.0015600624024961	, pelvic inflammatory disease, Pelvic inflammatory disease
0.003169572107765452	0.00019657951641438966	0.0015726567414552314	0.0015600624024961	, culture positive, Culture positive, culture negative, Culture negative
0.002336448598130841	0.0005820721769499418	0.002805683772287085	0.0015306122448979589	, gastrointestinal pains,pain gi,gastrointestinal pain,gi pain
0.009935968204901743	0.000196232339089482	0.00010461345329009308	0.0013768269434441855	, anxiousness,anxiety,anxious,anxieties
0.0071215253847920984	0.000196232339089482	0.00010461345329009308	0.0012951842693983279	, anxiety, Anxiety
0.0019588638589618022	0.0015845070422535212	0.001992148590847835	0.0012644508670520231	, increase weight,gain weight,weight gain,weight increase,gains weight,gain wt,weight gaining,gaining wt,increasing weight,increased weight,increases weight,wt gain,gained weight
0.0019502681618722574	0.00019634792852935403	0.0002047082906857728	0.0010668563300142249	, not gaining weight,not putting on weight,failure to gain weight,weight gain unable,failure weight gain,putting weight,weight gaining,weight gain failure,unable to gain weight,gaining weight,put weight,poor weight gain
0.011041009463722398	0.0007829320806420043	0.0021278751646570068	0.001038961038961039	, vaginal infection, Vaginal infection
0.001584786053882726	0.000588119976475201	0.0003131850923896023	0.001038961038961039	, alcohol interaction, Alcohol interaction
0.001579778830963665	0.0003861749372465727	0.0015814964910546606	0.0010362694300518132	, mouth ulceration, Mouth ulceration
0.010260457774269928	0.0013503086419753086	0.008570139828597204	0.0010357327809425167	, face swells,face swelling,swelling of face,face swell,faces swelling,swelling facial,face swollen,facial swelling,swollen face,swelling face
0.0007905138339920951	0.06103468320093005	0.008496327108593679	0.0010357327809425167	, miscarriage,spontaneous abortions,miscarriages,abortion spontaneous,pregnancy miscarriage,miscarriage of pregnancy,miscarriages pregnancy,abortions spontaneous,miscarriage pregnancy,spontaneous abortion
0.001579778830963665	0.0003861749372465727	0.0020606417427141595	0.0010357327809425167	, of mouth ulcer,oral ulcerations,mouth ulcerations,mouth ulcer,mouth ulceration,oral ulcers,ulcer oral,oral ulcer,mouth ulcers,ulcers mouth,oral ulceration,ulcer mouth
0.009448818897637795	0.00019577133907595928	0.005845782685348427	0.0010298661174047373	, oral pain,mouth painful,pain oral,painful mouth,mouth pain,cavity oral pain,pain mouth,mouth pains
0.0046296296296296285	0.005544261689151728	0.010144390966308774	0.001004016064257028	, appetite reducing,appetite poor,appetite decreased,reduced appetite,appetite decreasing,decrease appetite,decrease in appetite,appetites decrease,decreased appetite,appetite decrease,poor appetite
