Adalimumab_drugsCom	Adalimumab_MedEffect	Adalimumab_OpenFDA	Adalimumab_Twitter	sideefects
0.0040404040404040395	0.0002330006601685372	0.0008139550273303599	0.002006688963210702	, change moods,labile mood,change mood,changes mood,altered moods,altering mood,emotional lability,mood labile,mood swings,swings mood,emotionally labile,mood swing,emotional instability,mood change
0.002544529262086514	0.00042614736950851004	0.002420513358741071	0.0016290435187340006	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.005738880918220947	0.0016709844559585493	0.005597355789193947	0.0015412278448497304	, stiffness joint,joints stiffness,stiffness joints,stiff joint,joints stiff,joint stiffness
0.008298755186721992	0.00033678320229012584	0.0038048269599167454	0.0014829461196243206	, occluded,blocked,obstructions,obstruction,occlusions,blocks,occlusion,block,occluding
0.002728512960436562	0.0003756476683937824	0.0009637472605814168	0.0014727540500736375	, diabetic,diabetics
0.013071895424836602	1.295722818974565e-05	2.9912655047261995e-05	0.0014641288433382134	, shock, Shock
0.012903225806451613	1.2956053067993367e-05	0.0005146065252107396	0.001435406698564593	, cardiovascular collapse,shock disorder,circulatory collapse,collapse,vascular collapse,shocks,vascular shock,acute circulatory failure,shock,shocked,shocking,circulatory failure,disorders shock,shock, physiological,physiological shock,circulatory shock
0.0028169014084507052	0.001023435374590302	0.0043751037344398344	0.0012768130745658835	, dry skin,skin dryness,drying skin,skin dry,dryness skin
0.008379888268156423	0.0008550995024875622	0.0043529075828911785	0.0012729124236252544	, gastrointestinal pains,pain gi,gastrointestinal pain,gi pain
0.003179650238473768	9.069589665850404e-05	0.0008618032238069826	0.0011596443757247775	, depression st,depressed segments st,st depression,depressed st,depressions st,st segment depression,depression segment st,depressed st segment
0.0028694404591104736	0.0003627647859039969	0.0017475431403948252	0.0010274852298998204	, eye infection,eyes infections,infection eye,eye infections,eyes infection,ocular infections,ocular infection,infections eye
